Id,Label,Type,Class
Alfonso Carracci,Alfonso Carracci,Character,Carracci Family
Nino Sarratore,Nino Sarratore,Character,Sarratore Family
Lila,Lila,Character,Primary Character
Alfonso,Alfonso,Character,Carracci Family
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
lei,lei,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
figlio di don Achille,figlio di don Achille,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
Alfonso,Alfonso,Character,Carracci Family
Lila,Lila,Character,Primary Character
Alfonso,Alfonso,Character,Carracci Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Alfonso,Alfonso,Character,Carracci Family
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
me,me,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Alfonso,Alfonso,Character,Carracci Family
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Alfonso,Alfonso,Character,Carracci Family
Alfonso,Alfonso,Character,Carracci Family
Stefano,Stefano,Character,Carracci Family
falegname Peluso,falegname Peluso,Character,Peluso Family
suo padre,suo padre,Character,Carracci Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
Enzo,Enzo,Character,Scanno Family
Stefano,Stefano,Character,Carracci Family
Rino,Rino,Character,Cerullo Family
Stefano,Stefano,Character,Carracci Family
zia Maria,zia Maria,Character,Carracci Family
Nunzia,Nunzia,Character,Cerullo Family
Fernando Cerullo,Fernando Cerullo,Character,Cerullo Family
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
don Achille,don Achille,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
io,io,Character,Primary Character
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
io,io,Character,Primary Character
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Rino,Rino,Character,Cerullo Family
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
me,me,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
Lila,Lila,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
Io,Io,Character,Primary Character
Lila,Lila,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
mia madre,mia madre,Character,Greco Family
Nino Sarratore,Nino Sarratore,Character,Sarratore Family
Pino,Pino,Character,Sarratore Family
Nino,Nino,Character,Sarratore Family
Lui,Lui,Character,Sarratore Family
Pino,Pino,Character,Sarratore Family
Lila,Lila,Character,Primary Character
a sua sorella,a sua sorella,Character,Sarratore Family
Gigliola Spagnuolo,Gigliola Spagnuolo,Character,Spagnuolo Family
Enzo,Enzo,Character,Scanno Family
Lila,Lila,Character,Primary Character
Nicola,Nicola,Character,Scanno Family
Donato Sarratore,Donato Sarratore,Character,Sarratore Family
Nino,Nino,Character,Sarratore Family
Lidia,Lidia,Character,Sarratore Family
Donato,Donato,Character,Sarratore Family
mia madre,mia madre,Character,Greco Family
la moglie,la moglie,Character,Sarratore Family
Melina,Melina,Character,Cappuccio Family
il marito,il marito,Character,Sarratore Family
Melina,Melina,Character,Cappuccio Family
Sarratore,Sarratore,Character,Sarratore Family
Nino,Nino,Character,Sarratore Family
Nicola,Nicola,Character,Scanno Family
Donato,Donato,Character,Sarratore Family
Lidia Sarratore,Lidia Sarratore,Character,Sarratore Family
Marisa,Marisa,Character,Sarratore Family
Clelia,Clelia,Character,Sarratore Family
Melina,Melina,Character,Cappuccio Family
Lila,Lila,Character,Primary Character
Ada,Ada,Character,Cappuccio Family
Melina,Melina,Character,Cappuccio Family
Lidia Sarratore,Lidia Sarratore,Character,Sarratore Family
Donato,Donato,Character,Sarratore Family
don Nicola, don Nicola,Character,Scanno Family
Lila,Lila,Character,Primary Character
Lidia,Lidia,Character,Sarratore Family
Nino,Nino,Character,Sarratore Family
mia madre,mia madre,Character,Greco Family
Nino,Nino,Character,Sarratore Family
Lila,Lila,Character,Primary Character
Gigliola Spagnuolo,Gigliola Spagnuolo,Character,Spagnuolo Family
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Gigliola Spagnuolo,Gigliola Spagnuolo,Character,Spagnuolo Family
Enzo,Enzo,Character,Scanno Family
Io,Io,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Enzo,Enzo,Character,Scanno Family
Enzo,Enzo,Character,Scanno Family
Gigliola,Gigliola,Character,Spagnuolo Family
La maestra,La maestra,Character,School
mio padre,mio padre,Character,Greco Family
dalla maestra,dalla maestra,Character,School
mia madre,mia madre,Character,School
La maestra,La maestra,Character,School
mio padre,mio padre,Character,Greco Family
la maestra,la maestra,Character,School
lei,lei,Character,School
mia madre,mia madre,Character,Greco Family
mio padre,mio padre,Character,Greco Family
mio padre,mio padre,Character,Greco Family
mia madre,mia madre,Character,Greco Family
io,io,Character,Greco Family
Lila,Lila,Character,Primary Character
Nunzia Cerullo,Nunzia Cerullo,Character,Cerullo Family
il padre,il padre,Character,Cerullo Family
Rino,Rino,Character,Cerullo Family
dalla maestra,dalla maestra,Character,School
Nunzia,Nunzia,Character,Cerullo Family
la Oliviero,la Oliviero,Character,School
Lila,Lila,Character,Cerullo Family
la Oliviero,la Oliviero,Character,School
la madre di Lila,la madre di Lila,Character,Cerullo Family
Nunzia,Nunzia,Character,Cerullo Family
Lila,Lila,Character,Cerullo Family
Enzo,Enzo,Character,Scanno Family
Alfonso,Alfonso,Character,Carracci Family
Stefano,Stefano,Character,Carracci Family
Rino,Rino,Character,Cerullo Family
don Achille,don Achille,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
Lila,Lila,Character,Cerullo Family
io,io,Character,Primary Character
lei,lei,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
Lila,Lila,Character,Primary Character
Alfonso,Alfonso,Character,Carracci Family
Stefano,Stefano,Character,Carracci Family
Pinuccia,Pinuccia,Character,Carracci Family
Lila,Lila,Character,Primary Character
Maria,Maria,Character,Carracci Family
Alfonso,Alfonso,Character,Carracci Family
Lila,Lila,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
La figlia dello scarparo,La figlia dello scarparo,Character,Primary Character
figlia grande di Greco,figlia grande di Greco,Character,Primary Character
Don Achille,Don Achille,Character,Carracci Family
Lila,Lila,Character,Primary Character
Don Achille,Don Achille,Character,Carracci Family
Lila,Lila,Character,Primary Character
don Achille,don Achille,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
Lila,Lila,Character,Primary Character
Alfonso,Alfonso,Character,Carracci Family
Stefano,Stefano,Character,Carracci Family
Pinuccia,Pinuccia,Character,Carracci Family
donna Maria,donna Maria,Character,Carracci Family
Don Achille,Don Achille,Character,Carracci Family
Maria,Maria,Character,Carracci Family
Don Achille,Don Achille,Character,Carracci Family
Lila,Lila,Character,Primary Character
