Id,Label,Type,Class
Carmela,Carmela,Character,Peluso Family
Carmela Peluso,Carmela Peluso,Character,Peluso Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
tu,tu,Character,Primary Character
Peluso,Peluso,Character,Peluso Family
Carmela,Carmela,Character,Peluso Family
io,io,Character,Primary Character
Gigliola,Gigliola,Character,Spagnuolo Family
Rino,Rino,Character,Cerullo Family
Carmela Peluso,Carmela Peluso,Character,Peluso Family
Rino,Rino,Character,Cerullo Family
Lila,Lila,Character,Primary Character
Fernando,Fernando,Character,Cerullo Family
sua moglie,sua moglie,Character,Cerullo Family
mia amica,mia amica,Character,Primary Character
mia madre,mia madre,Character,Greco Family
mio padre,mio padre,Character,Greco Family
Mio padre,Mio padre,Character,Greco Family
Fernando,Fernando,Character,Cerullo Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Fernando,Fernando,Character,Cerullo Family
la figlia,la figlia,Character,Primary Character
Fernando,Fernando,Character,Cerullo Family
io,io,Character,Primary Character
Carmela,Carmela,Character,Peluso Family
Lila,Lila,Character,Primary Character
Rino,Rino,Character,Cerullo Family
lo scarparo,lo scarparo,Character,Cerullo Family
la figlia,la figlia,Character,Cerullo Family
Silvio Solara,Silvio Solara,Character,Solara Family
Marcello,Marcello,Character,Solara Family
Michele,Michele,Character,Solara Family
Lila,Lila,Character,Primary Character
Don Achille,Don Achille,Character,Carracci Family
don Achille,don Achille,Character,Carracci Family
Don Achille,Don Achille,Character,Carracci Family
Lila,Lila,Character,Primary Character
Carmela Peluso,Carmela Peluso,Character,Peluso Family
Carmela,Carmela,Character,Peluso Family
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
La madre di Carmela,La madre di Carmela,Character,Peluso Family
don Achille,don Achille,Character,Carracci Family
Carmela,Carmela,Character,Peluso Family
Lila,Lila,Character,Primary Character
la signora Peluso,la signora Peluso,Character,Peluso Family
io,io,Character,Primary Character
Carmela,Carmela,Character,Peluso Family
Lila,Lila,Character,Primary Character
Alfredo Peluso,Alfredo Peluso,Character,Peluso Family
la moglie Giuseppina,la moglie Giuseppina,Character,Peluso Family
la signora Peluso,la signora Peluso,Character,Peluso Family
Alfredo,Alfredo,Character,Others
Pasquale,Pasquale,Character,Peluso Family
Carmen,Carmen,Character,Peluso Family
Giuseppina,Giuseppina,Character,Peluso Family
don Achille,don Achille,Character,Carracci Family
io,io,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
Melina,Melina,Character,Cappuccio Family
Alfredo Peluso,Alfredo Peluso,Character,Peluso Family
Lila,Lila,Character,Primary Character
Carmela,Carmela,Character,Peluso Family
suo padre,suo padre,Character,Peluso Family
don Achille,don Achille,Character,Carracci Family
